JoinKey,,SuspiciousPairCount
172.23.101.102_10.32.0.207,0,31
172.23.101.104_10.32.1.202,0,44
172.23.101.106_10.32.0.202,0,42
172.23.101.106_10.32.1.201,0,34
172.23.101.108_10.32.0.205,0,30
172.23.101.109_10.32.0.208,0,46
172.23.101.175_10.32.0.207,0,50
172.23.101.176_10.32.1.204,0,53
172.23.101.178_10.32.0.100,0,4663
172.23.101.178_10.32.1.206,0,58
172.23.101.50_10.32.0.100,0,4664
172.23.101.55_10.32.1.205,0,28
172.23.101.57_10.32.0.204,0,53
172.23.101.57_10.32.0.210,0,56
172.23.101.57_10.32.1.201,0,39
172.23.101.58_10.32.0.210,0,38
172.23.101.59_10.32.1.201,0,28
172.23.102.143_10.32.0.201,0,37
172.23.102.145_10.32.0.205,0,46
172.23.102.148_10.32.0.207,0,38
172.23.102.205_10.32.0.209,0,36
172.23.102.209_10.32.0.209,0,23
172.23.102.51_10.32.0.206,0,32
172.23.102.54_10.32.0.207,0,48
172.23.102.55_10.32.0.201,0,37
172.23.102.55_10.32.1.206,0,45
172.23.102.56_10.32.0.207,0,29
172.23.102.57_10.32.1.204,0,43
172.23.102.58_10.32.0.202,0,49
172.23.102.58_10.32.1.206,0,28
172.23.103.139_10.32.1.202,0,39
172.23.103.183_10.32.0.207,0,27
172.23.103.184_10.32.0.203,0,33
172.23.103.184_10.32.1.203,0,46
172.23.103.186_10.32.0.208,0,37
172.23.103.223_10.32.0.100,0,4691
172.23.103.225_10.32.0.203,0,43
172.23.103.226_10.32.1.204,0,53
172.23.103.226_10.32.1.205,0,47
172.23.103.227_10.32.0.207,0,43
172.23.103.227_10.32.0.209,0,34
172.23.103.231_10.32.0.201,0,34
172.23.103.237_10.32.1.206,0,36
172.23.103.70_10.32.1.201,0,35
172.23.103.71_10.32.1.201,0,46
172.23.104.113_10.32.1.205,0,25
172.23.104.160_10.32.1.202,0,51
172.23.104.161_10.32.0.207,0,42
172.23.104.162_10.32.1.204,0,43
172.23.104.164_10.32.1.201,0,34
172.23.104.164_10.32.1.204,0,42
172.23.104.166_10.32.0.201,0,27
172.23.104.168_10.32.1.203,0,31
172.23.104.198_10.32.1.203,0,50
172.23.104.243_10.32.0.201,0,41
172.23.104.245_10.32.1.202,0,61
172.23.104.245_10.32.1.205,0,30
172.23.104.246_10.32.0.100,0,4657
172.23.104.246_10.32.0.206,0,37
172.23.104.246_10.32.0.210,0,61
172.23.104.70_10.32.0.208,0,36
172.23.104.70_10.32.1.204,0,47
172.23.104.70_10.32.1.206,0,29
172.23.104.71_10.32.0.100,0,4660
172.23.104.73_10.32.0.208,0,47
172.23.104.75_10.32.1.204,0,31
172.23.104.79_10.32.0.202,0,28
172.23.104.79_10.32.0.210,0,39
172.23.105.21_10.32.1.205,0,39
172.23.105.22_10.32.0.203,0,37
172.23.105.240_10.32.0.203,0,59
172.23.105.241_10.32.0.206,0,56
172.23.105.243_10.32.1.201,0,40
172.23.105.246_10.32.0.202,0,47
172.23.105.246_10.32.0.206,0,57
172.23.105.246_10.32.0.207,0,50
172.23.105.247_10.32.1.205,0,27
172.23.105.249_10.32.0.204,0,38
172.23.105.24_10.32.1.201,0,53
172.23.105.24_10.32.1.204,0,34
172.23.105.24_10.32.1.205,0,38
172.23.105.26_10.32.1.202,0,36
172.23.105.27_10.32.1.201,0,26
172.23.105.27_10.32.1.204,0,38
172.23.105.28_10.32.0.201,0,56
172.23.105.28_10.32.0.202,0,52
172.23.105.28_10.32.1.205,0,28
172.23.105.29_10.32.0.204,0,45
172.23.105.50_10.32.0.205,0,40
172.23.105.52_10.32.0.208,0,36
172.23.105.53_10.32.0.207,0,30
172.23.105.55_10.32.0.201,0,43
172.23.105.56_10.32.0.209,0,42
172.23.105.57_10.32.0.204,0,51
172.23.105.59_10.32.0.210,0,39
172.23.105.59_10.32.1.201,0,45
172.23.106.130_10.32.0.100,0,4696
172.23.106.131_10.32.0.203,0,40
172.23.106.132_10.32.1.203,0,36
172.23.106.132_10.32.1.205,0,35
172.23.106.135_10.32.1.203,0,46
172.23.106.136_10.32.0.204,0,49
172.23.106.182_10.32.0.209,0,38
172.23.106.183_10.32.0.208,0,56
172.23.106.183_10.32.0.209,0,44
172.23.106.185_10.32.0.208,0,52
172.23.106.186_10.32.1.201,0,47
172.23.106.188_10.32.0.202,0,24
172.23.106.30_10.32.0.100,0,4670
172.23.106.30_10.32.0.208,0,42
172.23.106.30_10.32.1.206,0,42
172.23.106.31_10.32.0.209,0,30
172.23.106.32_10.32.0.209,0,39
172.23.106.34_10.32.0.204,0,36
172.23.106.34_10.32.1.206,0,52
172.23.106.35_10.32.0.207,0,48
172.23.106.36_10.32.1.203,0,30
172.23.106.38_10.32.0.209,0,31
172.23.106.39_10.32.1.206,0,58
172.23.107.140_10.32.0.100,0,4693
172.23.107.143_10.32.1.204,0,50
172.23.107.146_10.32.0.204,0,36
172.23.107.146_10.32.0.207,0,52
172.23.107.149_10.32.0.206,0,51
172.23.107.240_10.32.1.206,0,31
172.23.107.243_10.32.0.208,0,40
172.23.107.244_10.32.0.209,0,36
172.23.107.245_10.32.0.210,0,34
172.23.107.246_10.32.1.203,0,42
172.23.107.249_10.32.0.100,0,4698
172.23.107.249_10.32.0.206,0,54
172.23.107.71_10.32.1.204,0,37
172.23.107.74_10.32.0.203,0,61
172.23.107.74_10.32.1.202,0,31
172.23.107.74_10.32.1.205,0,52
172.23.107.76_10.32.0.100,0,4682
172.23.107.76_10.32.0.203,0,42
172.23.107.78_10.32.0.100,0,4695
172.23.107.78_10.32.0.208,0,46
172.23.108.100_10.32.0.202,0,45
172.23.108.100_10.32.0.204,0,39
172.23.108.102_10.32.0.204,0,16
172.23.108.103_10.32.0.210,0,38
172.23.108.103_10.32.1.201,0,38
172.23.108.105_10.32.0.206,0,35
172.23.108.105_10.32.0.207,0,40
172.23.108.106_10.32.1.206,0,70
172.23.108.107_10.32.0.204,0,36
172.23.108.107_10.32.1.206,0,38
172.23.108.108_10.32.1.206,0,35
172.23.108.190_10.32.0.206,0,48
172.23.108.194_10.32.0.206,0,33
172.23.108.198_10.32.0.202,0,43
172.23.108.199_10.32.1.202,0,41
172.23.108.70_10.32.0.207,0,39
172.23.108.71_10.32.0.201,0,34
172.23.108.72_10.32.0.100,0,4667
172.23.108.72_10.32.0.210,0,39
172.23.108.73_10.32.0.204,0,50
172.23.108.74_10.32.0.203,0,75
172.23.108.76_10.32.0.203,0,52
172.23.108.77_10.32.0.204,0,55
172.23.108.77_10.32.0.205,0,45
172.23.109.153_10.32.0.208,0,30
172.23.109.153_10.32.1.202,0,25
172.23.109.154_10.32.0.207,0,20
172.23.109.155_10.32.0.204,0,20
172.23.109.155_10.32.0.210,0,26
172.23.109.157_10.32.1.206,0,38
172.23.109.231_10.32.1.204,0,16
172.23.109.232_10.32.0.210,0,25
172.23.109.235_10.32.1.204,0,20
172.23.109.236_10.32.0.208,0,14
172.23.109.237_10.32.0.203,0,30
172.23.109.239_10.32.1.206,0,29
172.23.109.51_10.32.1.201,0,15
172.23.109.54_10.32.0.208,0,21
172.23.109.54_10.32.0.210,0,27
172.23.109.58_10.32.0.205,0,18
172.23.11.150_10.32.1.202,0,80
172.23.11.150_10.32.1.206,0,62
172.23.11.152_10.32.0.201,0,56
172.23.11.157_10.32.0.205,0,61
172.23.11.204_10.32.1.204,0,88
172.23.11.206_10.32.0.209,0,89
172.23.11.209_10.32.0.204,0,109
172.23.110.170_10.32.1.203,0,43
172.23.110.171_10.32.0.206,0,40
172.23.110.172_10.32.1.204,0,29
172.23.110.177_10.32.0.206,0,52
172.23.110.201_10.32.0.204,0,30
172.23.110.201_10.32.1.206,0,39
172.23.110.202_10.32.1.206,0,32
172.23.110.203_10.32.0.206,0,48
172.23.110.203_10.32.0.207,0,31
172.23.110.209_10.32.1.204,0,34
172.23.110.41_10.32.0.206,0,47
172.23.110.44_10.32.1.203,0,36
172.23.110.46_10.32.1.205,0,32
172.23.110.48_10.32.0.207,0,34
172.23.110.49_10.32.0.205,0,34
172.23.111.131_10.32.0.207,0,33
172.23.111.133_10.32.1.203,0,41
172.23.111.134_10.32.1.201,0,36
172.23.111.135_10.32.1.203,0,36
172.23.111.136_10.32.0.203,0,43
172.23.111.136_10.32.0.206,0,41
172.23.111.138_10.32.1.201,0,34
172.23.111.139_10.32.1.203,0,47
172.23.111.163_10.32.0.205,0,31
172.23.111.201_10.32.0.210,0,57
172.23.111.201_10.32.1.203,0,32
172.23.111.205_10.32.1.206,0,36
172.23.111.30_10.32.0.206,0,49
172.23.111.31_10.32.0.206,0,36
172.23.111.32_10.32.0.207,0,30
172.23.111.32_10.32.0.210,0,60
172.23.111.32_10.32.1.201,0,46
172.23.111.32_10.32.1.203,0,36
172.23.112.120_10.32.1.201,0,21
172.23.112.120_10.32.1.202,0,56
172.23.112.122_10.32.0.210,0,55
172.23.112.123_10.32.1.205,0,26
172.23.112.124_10.32.0.100,0,4663
172.23.112.126_10.32.0.204,0,43
172.23.112.126_10.32.1.205,0,36
172.23.112.128_10.32.0.210,0,35
172.23.112.154_10.32.0.204,0,39
172.23.112.155_10.32.0.208,0,26
172.23.112.155_10.32.1.204,0,21
172.23.112.251_10.32.0.203,0,32
172.23.112.251_10.32.0.204,0,45
172.23.112.251_10.32.1.205,0,26
172.23.112.252_10.32.0.210,0,41
172.23.112.253_10.32.0.210,0,36
172.23.112.254_10.32.1.203,0,44
172.23.112.255_10.32.0.202,0,45
172.23.112.41_10.32.0.207,0,33
172.23.112.43_10.32.0.207,0,37
172.23.112.43_10.32.1.206,0,40
172.23.112.44_10.32.0.100,0,4684
172.23.112.45_10.32.0.206,0,34
172.23.112.46_10.32.1.203,0,22
172.23.112.64_10.32.0.203,0,42
172.23.112.65_10.32.0.201,0,53
172.23.113.103_10.32.0.203,0,19
172.23.113.103_10.32.1.204,0,14
172.23.113.180_10.32.1.201,0,10
172.23.113.181_10.32.0.205,0,10
172.23.113.183_10.32.1.203,0,15
172.23.113.185_10.32.1.204,0,17
172.23.113.186_10.32.0.203,0,17
172.23.113.186_10.32.0.210,0,11
172.23.113.187_10.32.0.204,0,11
172.23.113.187_10.32.0.206,0,15
172.23.113.187_10.32.0.208,0,18
172.23.113.188_10.32.0.203,0,31
172.23.113.191_10.32.0.202,0,27
172.23.113.198_10.32.0.209,0,16
172.23.113.200_10.32.0.201,0,21
172.23.113.202_10.32.0.205,0,22
172.23.113.202_10.32.0.210,0,23
172.23.113.202_10.32.1.202,0,21
172.23.113.205_10.32.0.202,0,11
172.23.113.205_10.32.1.201,0,32
172.23.113.205_10.32.1.206,0,13
172.23.113.208_10.32.1.203,0,37
172.23.113.209_10.32.0.204,0,23
172.23.113.89_10.32.0.206,0,21
172.23.113.89_10.32.1.206,0,19
172.23.113.90_10.32.1.206,0,20
172.23.113.93_10.32.0.205,0,14
172.23.114.120_10.32.0.202,0,81
172.23.114.121_10.32.0.204,0,107
172.23.114.122_10.32.0.208,0,74
172.23.114.123_10.32.1.202,0,105
172.23.114.126_10.32.1.204,0,84
172.23.114.143_10.32.0.100,0,4667
172.23.114.146_10.32.0.209,0,45
172.23.114.148_10.32.0.204,0,23
172.23.114.148_10.32.0.210,0,34
172.23.114.241_10.32.0.208,0,34
172.23.114.241_10.32.1.201,0,44
172.23.114.243_10.32.0.100,0,4623
172.23.114.243_10.32.0.206,0,29
172.23.114.245_10.32.0.202,0,39
172.23.114.248_10.32.0.203,0,29
172.23.114.42_10.32.0.208,0,33
172.23.114.45_10.32.0.205,0,35
172.23.114.48_10.32.1.202,0,36
172.23.114.49_10.32.0.100,0,4652
172.23.115.122_10.32.0.201,0,33
172.23.115.122_10.32.0.202,0,35
172.23.115.122_10.32.0.207,0,45
172.23.115.125_10.32.0.209,0,47
172.23.115.125_10.32.1.202,0,39
172.23.115.125_10.32.1.206,0,45
172.23.115.128_10.32.0.207,0,48
172.23.115.128_10.32.1.206,0,47
172.23.115.154_10.32.1.201,0,100
172.23.115.156_10.32.0.201,0,122
172.23.115.158_10.32.0.202,0,95
172.23.115.221_10.32.0.202,0,45
172.23.115.223_10.32.0.209,0,43
172.23.115.225_10.32.1.205,0,52
172.23.115.226_10.32.1.202,0,45
172.23.115.22_10.32.0.208,0,34
172.23.115.26_10.32.0.206,0,47
172.23.115.26_10.32.0.207,0,41
172.23.115.27_10.32.0.100,0,4676
172.23.115.28_10.32.0.205,0,43
172.23.115.28_10.32.0.209,0,29
172.23.115.28_10.32.0.210,0,29
172.23.116.161_10.32.0.201,0,54
172.23.116.164_10.32.0.203,0,32
172.23.116.168_10.32.0.208,0,31
172.23.116.245_10.32.0.208,0,40
172.23.116.245_10.32.1.206,0,43
172.23.116.246_10.32.0.201,0,29
172.23.116.248_10.32.0.202,0,35
172.23.116.249_10.32.0.206,0,50
172.23.116.41_10.32.0.207,0,50
172.23.116.41_10.32.0.208,0,30
172.23.116.41_10.32.1.203,0,32
172.23.116.42_10.32.0.204,0,59
172.23.116.42_10.32.0.207,0,52
172.23.116.44_10.32.0.202,0,44
172.23.116.46_10.32.0.202,0,39
172.23.116.46_10.32.0.207,0,41
172.23.116.47_10.32.0.202,0,44
172.23.116.47_10.32.0.206,0,48
172.23.116.47_10.32.1.202,0,39
172.23.116.49_10.32.0.204,0,53
172.23.117.161_10.32.1.203,0,45
172.23.117.162_10.32.0.206,0,53
172.23.117.165_10.32.0.210,0,56
172.23.117.166_10.32.0.210,0,25
172.23.117.168_10.32.1.202,0,45
172.23.117.168_10.32.1.203,0,34
172.23.117.168_10.32.1.206,0,33
172.23.117.169_10.32.1.204,0,30
172.23.117.231_10.32.0.205,0,55
172.23.117.239_10.32.0.201,0,27
172.23.117.239_10.32.1.205,0,62
172.23.117.241_10.32.1.204,0,35
172.23.117.243_10.32.0.205,0,46
172.23.117.246_10.32.0.206,0,32
172.23.117.246_10.32.0.208,0,40
172.23.117.247_10.32.0.207,0,30
172.23.117.247_10.32.0.208,0,38
172.23.117.248_10.32.0.204,0,33
172.23.117.249_10.32.1.203,0,24
172.23.117.97_10.32.0.201,0,37
172.23.117.97_10.32.1.203,0,34
172.23.117.99_10.32.0.202,0,44
172.23.118.100_10.32.0.208,0,107
172.23.118.10_10.32.0.201,0,80
172.23.118.10_10.32.1.204,0,79
172.23.118.122_10.32.1.203,0,25
172.23.118.124_10.32.1.202,0,42
172.23.118.125_10.32.1.202,0,40
172.23.118.126_10.32.0.208,0,33
172.23.118.126_10.32.1.205,0,33
172.23.118.151_10.32.0.210,0,39
172.23.118.159_10.32.0.100,0,4663
172.23.118.159_10.32.1.203,0,40
172.23.118.16_10.32.0.210,0,54
172.23.118.230_10.32.1.203,0,46
172.23.118.231_10.32.0.207,0,27
172.23.118.231_10.32.1.206,0,44
172.23.118.232_10.32.0.100,0,4622
172.23.118.233_10.32.0.204,0,44
172.23.118.233_10.32.0.207,0,52
172.23.118.233_10.32.1.202,0,34
172.23.118.235_10.32.1.206,0,102
172.23.118.237_10.32.0.207,0,45
172.23.118.239_10.32.1.205,0,103
172.23.118.63_10.32.1.205,0,29
172.23.118.65_10.32.1.201,0,51
172.23.118.66_10.32.0.205,0,54
172.23.118.68_10.32.0.203,0,42
172.23.12.172_10.32.0.209,0,80
172.23.12.172_10.32.1.206,0,94
172.23.12.174_10.32.0.100,0,1346
172.23.12.177_10.32.0.201,0,91
172.23.12.199_10.32.1.206,0,108
172.23.12.201_10.32.1.203,0,69
172.23.12.202_10.32.0.209,0,115
172.23.12.206_10.32.1.203,0,94
172.23.12.207_10.32.0.206,0,62
172.23.12.43_10.32.1.201,0,88
172.23.12.48_10.32.0.201,0,88
172.23.120.154_10.32.0.201,0,124
172.23.120.154_10.32.0.209,0,110
172.23.120.158_10.32.0.207,0,53
172.23.120.158_10.32.1.203,0,46
172.23.120.159_10.32.0.208,0,35
172.23.120.159_10.32.1.201,0,46
172.23.120.20_10.32.1.201,0,32
172.23.120.21_10.32.0.201,0,44
172.23.120.21_10.32.0.206,0,39
172.23.120.21_10.32.1.203,0,34
172.23.120.24_10.32.1.206,0,38
172.23.120.251_10.32.0.202,0,44
172.23.120.252_10.32.0.100,0,4658
172.23.120.253_10.32.0.206,0,38
172.23.120.253_10.32.0.207,0,56
172.23.120.253_10.32.0.208,0,30
172.23.120.25_10.32.0.209,0,42
172.23.120.27_10.32.0.204,0,61
172.23.120.27_10.32.1.204,0,30
172.23.120.50_10.32.0.100,0,4649
172.23.120.50_10.32.0.204,0,41
172.23.120.52_10.32.0.210,0,47
172.23.120.52_10.32.1.202,0,38
172.23.120.52_10.32.1.204,0,30
172.23.120.53_10.32.0.209,0,49
172.23.120.55_10.32.1.205,0,47
172.23.120.56_10.32.0.206,0,32
172.23.120.57_10.32.1.203,0,35
172.23.120.58_10.32.1.204,0,39
172.23.120.59_10.32.0.205,0,43
172.23.120.59_10.32.0.208,0,54
172.23.121.11_10.32.1.205,0,18
172.23.121.12_10.32.1.206,0,12
172.23.121.13_10.32.0.100,0,2343
172.23.121.15_10.32.0.203,0,26
172.23.121.16_10.32.0.209,0,26
172.23.121.16_10.32.0.210,0,33
172.23.121.16_10.32.1.202,0,26
172.23.121.188_10.32.0.207,0,58
172.23.121.189_10.32.0.208,0,36
172.23.121.19_10.32.1.203,0,24
172.23.121.223_10.32.1.203,0,74
172.23.121.223_10.32.1.205,0,40
172.23.121.240_10.32.0.208,0,33
172.23.121.244_10.32.1.202,0,15
172.23.121.247_10.32.1.203,0,18
172.23.121.249_10.32.0.202,0,17
172.23.121.249_10.32.0.207,0,20
172.23.121.83_10.32.1.206,0,15
172.23.121.84_10.32.1.202,0,27
172.23.121.86_10.32.0.203,0,25
172.23.121.86_10.32.0.210,0,18
172.23.121.87_10.32.0.206,0,27
172.23.121.89_10.32.0.206,0,20
172.23.122.134_10.32.0.202,0,48
172.23.122.136_10.32.1.204,0,60
172.23.122.137_10.32.0.202,0,57
172.23.122.139_10.32.0.209,0,43
172.23.122.140_10.32.0.100,0,2346
172.23.122.140_10.32.0.202,0,19
172.23.122.143_10.32.0.206,0,20
172.23.122.143_10.32.0.207,0,11
172.23.122.143_10.32.1.203,0,19
172.23.122.146_10.32.0.202,0,22
172.23.122.146_10.32.1.202,0,18
172.23.122.147_10.32.1.203,0,15
172.23.122.149_10.32.1.203,0,18
172.23.122.221_10.32.0.207,0,14
172.23.122.225_10.32.0.100,0,2367
172.23.122.228_10.32.0.201,0,11
172.23.122.228_10.32.1.201,0,38
172.23.122.41_10.32.0.100,0,2360
172.23.122.44_10.32.0.201,0,17
172.23.122.44_10.32.0.205,0,33
172.23.122.44_10.32.0.209,0,17
172.23.122.46_10.32.1.202,0,28
172.23.122.46_10.32.1.204,0,25
172.23.122.47_10.32.0.202,0,40
172.23.122.47_10.32.0.204,0,19
172.23.122.48_10.32.0.203,0,15
172.23.122.49_10.32.0.207,0,21
172.23.123.100_10.32.5.57,0,51
172.23.123.104_10.32.5.69,0,59
172.23.123.107_10.32.5.52,0,72
172.23.123.107_10.32.5.68,0,51
172.23.123.108_10.32.5.68,0,56
172.23.123.36_10.32.5.51,0,46
172.23.123.81_10.32.5.54,0,37
172.23.123.83_10.32.5.57,0,30
172.23.123.88_10.32.5.50,0,183
172.23.124.194_10.32.5.69,0,52
172.23.124.195_10.32.5.50,0,258
172.23.124.198_10.32.5.57,0,22
172.23.124.200_10.32.5.69,0,74
172.23.124.201_10.32.5.56,0,24
172.23.124.202_10.32.5.69,0,40
172.23.124.203_10.32.5.56,0,23
172.23.124.205_10.32.5.54,0,34
172.23.124.208_10.32.5.53,0,24
172.23.124.64_10.32.5.51,0,43
172.23.124.64_10.32.5.68,0,57
172.23.125.112_10.32.5.54,0,28
172.23.125.169_10.32.5.68,0,68
172.23.125.212_10.32.5.52,0,57
172.23.125.212_10.32.5.55,0,20
172.23.125.212_10.32.5.68,0,59
172.23.125.219_10.32.5.52,0,56
172.23.125.92_10.32.5.51,0,51
172.23.125.97_10.32.5.57,0,40
172.23.125.98_10.32.5.54,0,21
172.23.126.115_10.32.5.51,0,37
172.23.126.119_10.32.5.50,0,212
172.23.126.200_10.32.5.50,0,408
172.23.126.200_10.32.5.69,0,63
172.23.126.208_10.32.5.57,0,50
172.23.126.31_10.32.5.50,0,221
172.23.127.123_10.32.5.53,0,26
172.23.127.124_10.32.5.51,0,41
172.23.127.129_10.32.5.54,0,24
172.23.127.200_10.32.5.56,0,28
172.23.127.203_10.32.5.51,0,73
172.23.127.204_10.32.5.53,0,50
172.23.127.206_10.32.5.56,0,26
172.23.127.208_10.32.5.57,0,56
172.23.128.110_10.32.5.56,0,40
172.23.128.113_10.32.5.52,0,57
172.23.128.116_10.32.5.52,0,20
172.23.128.12_10.32.5.53,0,13
172.23.128.15_10.32.5.55,0,11
172.23.128.15_10.32.5.56,0,20
172.23.128.160_10.32.5.69,0,58
172.23.128.169_10.32.5.54,0,16
172.23.128.18_10.32.5.52,0,25
172.23.129.160_10.32.5.57,0,44
172.23.129.161_10.32.5.52,0,8
172.23.129.162_10.32.5.68,0,56
172.23.129.167_10.32.5.69,0,71
172.23.129.190_10.32.5.69,0,56
172.23.129.191_10.32.5.50,0,489
172.23.129.193_10.32.5.52,0,42
172.23.129.193_10.32.5.56,0,10
172.23.129.195_10.32.5.50,0,371
172.23.129.195_10.32.5.56,0,22
172.23.129.196_10.32.5.53,0,18
172.23.129.198_10.32.5.51,0,57
172.23.129.198_10.32.5.55,0,19
172.23.129.199_10.32.5.68,0,48
172.23.129.240_10.32.5.52,0,12
172.23.129.241_10.32.5.69,0,37
172.23.129.242_10.32.5.50,0,226
172.23.129.244_10.32.5.54,0,24
172.23.129.244_10.32.5.55,0,13
172.23.129.244_10.32.5.68,0,29
172.23.129.245_10.32.5.69,0,49
172.23.129.249_10.32.5.55,0,22
172.23.13.115_10.32.0.100,0,1218
172.23.13.116_10.32.1.202,0,78
172.23.13.197_10.32.0.201,0,68
172.23.13.210_10.32.1.202,0,77
172.23.13.212_10.32.1.203,0,70
172.23.13.215_10.32.0.202,0,77
172.23.13.216_10.32.0.202,0,74
172.23.13.80_10.32.0.205,0,71
172.23.13.89_10.32.0.202,0,88
172.23.13.89_10.32.0.205,0,60
172.23.130.13_10.32.5.51,0,89
172.23.130.16_10.32.5.51,0,84
172.23.130.176_10.32.5.53,0,95
172.23.130.176_10.32.5.68,0,40
172.23.130.177_10.32.5.52,0,70
172.23.130.74_10.32.5.51,0,82
172.23.130.75_10.32.5.53,0,81
172.23.131.154_10.32.5.51,0,32
172.23.131.155_10.32.5.69,0,51
172.23.131.156_10.32.5.57,0,51
172.23.131.158_10.32.5.50,0,275
172.23.131.159_10.32.5.54,0,21
172.23.131.22_10.32.5.68,0,55
172.23.131.27_10.32.5.52,0,31
172.23.131.97_10.32.5.53,0,12
172.23.131.97_10.32.5.56,0,27
172.23.132.233_10.32.5.57,0,53
172.23.132.233_10.32.5.69,0,54
172.23.132.251_10.32.5.51,0,46
172.23.132.251_10.32.5.69,0,53
172.23.132.30_10.32.5.54,0,21
172.23.132.38_10.32.5.57,0,87
172.23.133.122_10.32.5.51,0,42
172.23.133.126_10.32.5.51,0,54
172.23.133.126_10.32.5.68,0,72
172.23.133.128_10.32.5.51,0,29
172.23.133.244_10.32.5.52,0,27
172.23.133.249_10.32.5.55,0,21
172.23.133.85_10.32.5.50,0,371
172.23.133.85_10.32.5.51,0,68
172.23.134.211_10.32.5.54,0,119
172.23.134.213_10.32.5.55,0,112
172.23.134.215_10.32.5.52,0,134
172.23.134.219_10.32.5.52,0,79
172.23.134.79_10.32.5.51,0,142
172.23.134.79_10.32.5.53,0,162
172.23.135.10_10.32.5.50,0,602
172.23.135.121_10.32.5.54,0,30
172.23.135.14_10.32.5.54,0,18
172.23.135.232_10.32.5.53,0,25
172.23.136.102_10.32.5.51,0,61
172.23.136.102_10.32.5.52,0,53
172.23.14.120_10.32.1.201,0,69
172.23.14.122_10.32.0.201,0,70
172.23.14.126_10.32.0.206,0,52
172.23.14.127_10.32.1.201,0,74
172.23.14.127_10.32.1.202,0,67
172.23.14.230_10.32.0.100,0,1221
172.23.14.230_10.32.1.202,0,70
172.23.14.231_10.32.0.201,0,65
172.23.14.231_10.32.0.205,0,74
172.23.14.232_10.32.0.209,0,74
172.23.14.232_10.32.1.202,0,61
172.23.14.233_10.32.0.201,0,95
172.23.14.233_10.32.1.201,0,104
172.23.14.236_10.32.0.202,0,76
172.23.14.236_10.32.1.202,0,68
172.23.14.238_10.32.1.204,0,70
172.23.14.239_10.32.0.202,0,92
172.23.14.62_10.32.0.205,0,79
172.23.14.63_10.32.1.206,0,78
172.23.14.69_10.32.0.100,0,1214
172.23.14.69_10.32.0.205,0,70
172.23.14.69_10.32.0.206,0,106
172.23.14.69_10.32.1.204,0,71
172.23.15.22_10.32.0.205,0,68
172.23.15.29_10.32.1.203,0,63
172.23.17.102_10.32.0.206,0,92
172.23.17.103_10.32.0.100,0,1335
172.23.17.104_10.32.0.205,0,82
172.23.17.107_10.32.1.201,0,70
172.23.17.107_10.32.1.203,0,89
172.23.17.190_10.32.0.202,0,72
172.23.17.191_10.32.0.206,0,84
172.23.17.193_10.32.0.205,0,74
172.23.17.195_10.32.1.202,0,105
172.23.17.198_10.32.0.209,0,79
172.23.17.199_10.32.0.201,0,84
172.23.17.199_10.32.0.202,0,94
172.23.17.215_10.32.0.202,0,76
172.23.17.215_10.32.0.205,0,110
172.23.17.215_10.32.1.202,0,100
