Destination service,count
27998_tcp,1
28039_tcp,1
2804_tcp,3
28062_tcp,1
2820_tcp,3
2836_tcp,2
2847_tcp,2
28658_tcp,2
28703_tcp,2
28708_tcp,1
2872_tcp,3
2886_tcp,4
28948_tcp,1
2896_tcp,3
28983_tcp,1
29139_tcp,1
29140_tcp,1
29170_tcp,1
2925_tcp,4
29343_tcp,1
29371_tcp,1
29440_tcp,1
2946_tcp,2
29471_tcp,1
29733_tcp,1
29825_tcp,1
29960_tcp,1
29993_tcp,2
3012_tcp,2
3015_tcp,1
3017_tcp,1
30470_tcp,1
30500_tcp,1
30798_tcp,1
30807_tcp,1
31170_tcp,1
31237_tcp,2
3153_tcp,2
3155_tcp,3
31803_tcp,1
32140_tcp,1
3245_tcp,1
3255_tcp,3
32711_tcp,1
3280_tcp,2
3295_tcp,1
33055_tcp,1
33172_tcp,1
3320_tcp,3
33334_tcp,1
3333_tcp,2
33374_tcp,1
33531_tcp,1
33643_tcp,1
33744_tcp,1
33858_tcp,1
33938_tcp,1
34055_tcp,1
34229_tcp,1
3425_tcp,2
34448_tcp,1
3467_tcp,2
3477_tcp,4
34928_tcp,1
3539_tcp,2
35565_tcp,1
35829_tcp,1
35836_tcp,1
35864_tcp,1
3606_tcp,3
36137_tcp,1
36276_tcp,1
36278_tcp,1
3648_tcp,2
36562_tcp,1
3657_tcp,3
3662_tcp,4
3678_tcp,3
36848_tcp,1
3685_tcp,2
3686_tcp,1
36888_tcp,1
3704_tcp,3
3710_tcp,2
37120_tcp,1
37160_tcp,1
3716_tcp,1
37297_tcp,1
37329_tcp,1
37407_tcp,1
37517_tcp,1
37561_tcp,1
37573_tcp,1
37891_tcp,1
3793_tcp,1
37998_tcp,1
38016_tcp,1
38148_tcp,1
3822_tcp,3
38318_tcp,1
38339_tcp,1
38352_tcp,1
3860_tcp,1
3861_tcp,3
38876_tcp,1
3896_tcp,1
39045_tcp,1
39162_tcp,1
39284_tcp,1
39507_tcp,1
3965_tcp,3
39690_tcp,1
3983_tcp,2
3994_tcp,1
40020_tcp,1
40250_tcp,1
4025_tcp,4
40689_tcp,1
4068_tcp,3
4072_tcp,4
40959_tcp,1
40982_tcp,1
41025_tcp,1
41120_tcp,1
4120_tcp,4
4122_tcp,2
4136_tcp,3
41527_tcp,1
41710_tcp,1
4206_tcp,2
42101_tcp,1
42114_tcp,1
4216_tcp,1
42276_tcp,1
4231_tcp,3
42828_tcp,3
42924_tcp,2
4314_tcp,2
4317_tcp,1
43190_tcp,1
43198_tcp,1
43274_tcp,1
4362_tcp,1
4363_tcp,1
43719_tcp,1
43753_tcp,1
43836_tcp,1
4399_tcp,4
44815_tcp,1
44861_tcp,1
4492_tcp,2
45151_tcp,1
4526_tcp,2
4550_tcp,4
4551_tcp,4
45532_tcp,1
4556_tcp,1
4558_tcp,2
45701_tcp,1
45729_tcp,1
45763_tcp,1
4584_tcp,4
45950_tcp,1
46043_tcp,1
46084_tcp,1
46121_tcp,1
46206_tcp,1
46259_tcp,1
46457_tcp,1
46473_tcp,1
4649_tcp,4
46560_tcp,1
46713_tcp,1
4673_tcp,2
47054_tcp,1
47056_tcp,1
47060_tcp,2
47120_tcp,1
4713_tcp,4
47174_tcp,1
4730_tcp,2
47465_tcp,1
47637_tcp,1
47670_tcp,1
47761_tcp,1
4792_tcp,2
4814_tcp,3
48256_tcp,1
48350_tcp,1
48363_tcp,1
4855_tcp,3
48661_tcp,2
48700_tcp,1
48744_tcp,1
49039_tcp,1
4914_tcp,1
4925_tcp,4
49299_tcp,2
4942_tcp,4
4944_tcp,1
49564_tcp,1
49602_tcp,1
49690_tcp,1
4977_tcp,1
4979_tcp,2
49887_tcp,1
50317_tcp,1
50586_tcp,1
51013_tcp,1
51031_tcp,1
51039_tcp,1
51350_tcp,1
51659_tcp,1
51773_tcp,1
5179_tcp,1
5196_tcp,1
52011_tcp,1
52017_tcp,1
52270_tcp,1
52358_tcp,1
52495_tcp,1
52669_tcp,1
52670_tcp,1
52986_tcp,1
53054_tcp,1
53328_tcp,1
53347_tcp,1
53375_tcp,1
53718_tcp,1
53971_tcp,2
54186_tcp,1
54316_tcp,2
54518_tcp,1
5454_tcp,1
54779_tcp,1
54886_tcp,1
5528_tcp,1
55290_tcp,1
55709_tcp,1
55816_tcp,1
55844_tcp,1
55878_tcp,1
55948_tcp,1
5599_tcp,1
56040_tcp,1
56048_tcp,1
56103_tcp,1
56133_tcp,1
56453_tcp,1
56700_tcp,1
57022_tcp,1
57175_tcp,2
57206_tcp,1
57989_tcp,1
58058_tcp,1
58119_tcp,1
58203_tcp,1
58658_tcp,1
58933_tcp,1
58962_tcp,1
58975_tcp,1
59200_tcp,1
59243_tcp,1
59987_tcp,1
60105_tcp,1
60315_tcp,1
60428_tcp,1
60571_tcp,1
61047_tcp,1
61128_tcp,1
61178_tcp,3
61200_tcp,1
61442_tcp,1
61510_tcp,1
6160_tcp,1
61774_tcp,1
61909_tcp,1
62055_tcp,1
62059_tcp,1
62321_tcp,1
62407_tcp,2
62514_tcp,2
62623_tcp,1
6265_tcp,1
63517_tcp,1
63550_tcp,1
63579_tcp,1
63735_tcp,2
64020_tcp,1
6489_udp,2
65185_tcp,1
65188_tcp,1
65369_tcp,1
65443_tcp,1
6605_tcp,1
6968_tcp,1
7042_tcp,1
7491_tcp,1
7548_tcp,1
7598_tcp,1
7683_tcp,1
8338_tcp,1
8496_tcp,1
8629_tcp,1
8822_tcp,1
8960_tcp,1
9074_tcp,1
9111_tcp,1
9203_tcp,1
9327_tcp,1
9513_tcp,1
9701_tcp,2
9751_tcp,1
9937_tcp,1
10040_tcp,1
10145_tcp,1
10303_tcp,1
10309_tcp,1
1051_tcp,2
1068_tcp,4
10755_tcp,1
1112_tcp,2
11207_tcp,1
1151_tcp,2
11575_tcp,1
11595_tcp,1
11757_tcp,1
11776_tcp,1
11844_tcp,1
12028_tcp,1
12133_tcp,1
12256_tcp,1
1226_tcp,3
12493_tcp,1
12511_tcp,1
12552_tcp,1
12583_tcp,1
1267_tcp,2
12707_tcp,1
12734_tcp,1
1286_tcp,5
13137_tcp,1
1321_tcp,2
1332_tcp,1
13434_tcp,1
1356_tcp,2
1368_tcp,4
13726_tcp,1
13880_tcp,1
1388_tcp,1
1395_tcp,1
14253_tcp,1
1439_tcp,2
1449_tcp,2
1470_tcp,4
14714_tcp,2
14896_tcp,1
1499_tcp,3
15036_tcp,1
1509_tcp,2
1511_tcp,3
1526_tcp,2
15434_tcp,1
1544_tcp,3
15626_tcp,1
16145_tcp,1
16209_tcp,1
16220_tcp,1
1638_tcp,3
1652_tcp,5
1653_tcp,5
16549_tcp,1
16560_tcp,1
16658_tcp,1
16687_tcp,1
1682_tcp,2
1701_tcp,2
1704_tcp,3
17169_tcp,1
17278_tcp,1
1732_tcp,4
17457_tcp,1
17575_tcp,1
17797_tcp,2
17871_tcp,1
17988_tcp,1
18048_tcp,1
18601_tcp,1
18795_tcp,1
1912_tcp,4
1918_tcp,1
1929_tcp,3
1932_tcp,4
19510_tcp,1
1954_tcp,6
1959_tcp,4
19703_tcp,1
19712_tcp,1
1984_tcp,3
19857_tcp,2
1990_tcp,1
19919_tcp,1
1998_tcp,4
2013_tcp,3
2019_tcp,3
2033_tcp,2
2036_tcp,4
2078_tcp,3
20861_tcp,1
2088_tcp,2
21025_tcp,1
2103_tcp,1
2113_tcp,2
2118_tcp,2
2125_tcp,3
21282_tcp,1
21399_tcp,1
21470_tcp,1
2152_tcp,3
2160_tcp,2
21806_tcp,1
21850_tcp,1
21880_tcp,2
21894_tcp,2
22051_tcp,1
22299_tcp,1
2258_tcp,1
22734_tcp,1
2285_tcp,5
22860_tcp,1
2289_tcp,4
23024_tcp,1
23037_tcp,1
2303_tcp,3
2311_tcp,4
23247_tcp,1
23258_tcp,1
23375_tcp,1
23434_tcp,1
2349_tcp,3
23644_tcp,1
2365_tcp,4
2372_tcp,2
23746_tcp,1
2374_tcp,3
2376_tcp,2
23867_tcp,1
24167_tcp,1
24219_tcp,1
24239_tcp,1
2424_tcp,4
24256_tcp,1
24281_tcp,1
2442_tcp,3
24667_tcp,1
2470_tcp,2
2502_tcp,5
2511_tcp,2
25204_tcp,1
2540_tcp,2
2560_tcp,2
2563_tcp,4
2566_tcp,2
2575_tcp,2
26099_tcp,2
26525_tcp,1
2664_tcp,3
2671_tcp,5
26747_tcp,1
26899_tcp,2
2694_tcp,4
27040_tcp,1
27174_tcp,2
27365_tcp,1
2746_tcp,1
27779_tcp,2
27848_tcp,1
2790_tcp,1
2803_tcp,2
2810_tcp,2
28158_tcp,2
2834_tcp,2
28369_tcp,1
28617_tcp,1
2864_tcp,2
2869_tcp,2
28773_tcp,1
28917_tcp,1
2895_tcp,5
2897_tcp,6
28992_tcp,1
2939_tcp,3
2957_tcp,2
29582_tcp,1
2984_tcp,2
29882_tcp,1
29970_tcp,1
30102_tcp,1
3037_tcp,4
30562_tcp,1
3076_tcp,3
30796_tcp,1
3097_tcp,1
3105_tcp,3
31087_tcp,2
31088_tcp,1
31284_tcp,1
31449_tcp,1
31504_tcp,1
3160_tcp,3
31667_tcp,1
3170_tcp,2
31780_tcp,1
31809_tcp,1
31847_tcp,1
31904_tcp,1
3190_tcp,2
31918_tcp,1
32022_tcp,1
32095_tcp,1
32159_tcp,1
3232_tcp,3
32468_tcp,1
3246_tcp,3
3248_tcp,3
32632_tcp,1
3265_tcp,4
3267_tcp,2
3270_tcp,2
3275_tcp,1
32770_tcp,1
32871_tcp,1
33283_tcp,1
33358_tcp,1
33359_tcp,1
33388_tcp,1
3361_tcp,1
33746_tcp,1
3398_tcp,4
33992_tcp,1
34264_tcp,1
34640_tcp,1
34783_tcp,1
34807_tcp,1
34915_tcp,1
3532_tcp,2
35620_tcp,1
35625_tcp,2
3563_tcp,2
35704_tcp,2
35816_tcp,1
35884_tcp,1
3596_tcp,1
36039_tcp,1
36122_tcp,1
3642_tcp,3
36786_tcp,1
3681_tcp,2
36875_tcp,1
36899_tcp,1
36982_tcp,1
37018_tcp,1
37034_tcp,1
3711_tcp,3
37124_tcp,1
37271_tcp,1
37320_tcp,1
3747_tcp,3
3751_tcp,3
3752_tcp,3
3753_tcp,1
3754_tcp,1
37571_tcp,1
3758_tcp,4
3767_tcp,2
3773_tcp,2
3808_tcp,2
3825_tcp,1
38827_tcp,1
3895_tcp,3
39241_tcp,1
39278_tcp,1
39546_tcp,1
39714_tcp,1
39724_tcp,1
39791_tcp,1
39852_tcp,1
3992_tcp,3
4020_tcp,3
40237_tcp,1
4024_tcp,4
40319_tcp,2
4039_tcp,3
4041_tcp,1
40529_tcp,1
40690_tcp,1
40788_tcp,1
4083_tcp,1
41013_tcp,1
41149_tcp,1
41195_tcp,1
41349_tcp,1
41431_tcp,1
41496_tcp,1
4151_tcp,1
41599_tcp,1
41695_tcp,1
41877_tcp,1
4188_tcp,3
4190_tcp,1
41958_tcp,1
42091_tcp,1
4209_tcp,1
42204_tcp,1
4272_tcp,1
42739_tcp,1
4273_tcp,2
4282_tcp,3
4290_tcp,4
42998_tcp,1
43032_tcp,1
43036_tcp,1
4320_tcp,1
43232_tcp,1
4335_tcp,3
43401_tcp,1
4346_tcp,3
4353_tcp,3
43544_tcp,1
4356_tcp,2
43805_tcp,3
4382_tcp,1
44060_tcp,1
4421_tcp,3
44336_tcp,1
4439_tcp,2
4460_tcp,2
4463_tcp,1
4476_tcp,3
44912_tcp,1
44947_tcp,1
44996_tcp,1
45024_tcp,1
4516_tcp,4
45193_tcp,1
4585_tcp,4
4587_tcp,5
46226_tcp,1
46256_tcp,1
4640_tcp,2
4645_tcp,2
4646_tcp,3
4672_tcp,2
4675_tcp,3
4702_tcp,3
4709_tcp,2
4716_tcp,1
47288_tcp,1
47441_tcp,1
47593_tcp,1
47990_tcp,1
4811_tcp,1
48190_tcp,1
48339_tcp,2
48689_tcp,1
48795_tcp,1
48926_tcp,1
48961_tcp,1
48987_tcp,1
49000_tcp,1
49018_tcp,1
4904_tcp,2
49443_tcp,2
49612_tcp,1
4978_tcp,5
49973_tcp,1
5001_tcp,1
50039_tcp,1
50046_tcp,1
50071_tcp,1
50073_tcp,1
5025_tcp,1
50650_tcp,1
50897_tcp,1
51154_tcp,1
51238_tcp,1
51309_tcp,1
51392_tcp,1
51476_tcp,1
5151_tcp,1
51836_tcp,2
52281_tcp,1
5255_tcp,1
52571_tcp,1
52773_tcp,1
52778_tcp,1
5277_tcp,1
52970_tcp,1
53029_tcp,1
53281_tcp,1
53443_tcp,1
53455_tcp,1
5348_udp,2
53495_tcp,1
53569_tcp,1
5418_tcp,1
54556_tcp,1
54671_tcp,1
54805_tcp,1
54898_tcp,1
54932_tcp,1
55208_tcp,1
55452_tcp,1
55654_tcp,1
55671_tcp,1
55839_tcp,1
56269_tcp,1
56413_tcp,1
56436_tcp,2
56603_tcp,1
56658_tcp,1
56721_tcp,1
5684_tcp,1
56914_tcp,1
57012_tcp,1
57185_tcp,1
57246_tcp,1
57367_tcp,1
57398_tcp,1
58011_tcp,1
58472_tcp,1
58491_tcp,1
58624_tcp,1
58665_tcp,1
59544_tcp,1
59711_tcp,1
59776_tcp,1
5983_tcp,1
59875_tcp,1
59900_tcp,2
60365_tcp,1
60434_tcp,1
60531_tcp,1
6145_tcp,1
61467_tcp,1
61490_tcp,1
61556_tcp,1
61853_tcp,1
61963_tcp,1
62226_tcp,1
62325_tcp,1
62431_tcp,1
62504_tcp,1
62584_tcp,1
62884_tcp,2
62886_tcp,1
62930_tcp,1
62932_tcp,1
63239_tcp,1
63330_tcp,1
63493_tcp,1
63575_tcp,1
63599_tcp,1
63652_tcp,1
63765_tcp,1
63783_tcp,1
63948_tcp,1
63952_tcp,1
64024_tcp,1
64095_tcp,1
64349_tcp,1
64696_tcp,1
64737_tcp,1
64775_tcp,1
64781_tcp,1
64807_tcp,1
6483_tcp,1
64982_tcp,1
65008_tcp,1
65155_tcp,1
65358_tcp,1
6760_tcp,1
6969_tcp,1
6991_tcp,1
6996_tcp,1
7471_tcp,2
7712_tcp,1
7906_tcp,1
7962_tcp,1
7974_tcp,1
8012_tcp,1
8166_tcp,1
8464_tcp,1
8645_tcp,2
8702_tcp,1
9018_tcp,1
9130_tcp,1
9684_tcp,1
9760_tcp,1
9772_tcp,1
http,9620636
10178_tcp,1
10583_tcp,1
1081_tcp,1
10914_tcp,1
11042_tcp,1
11055_tcp,1
11059_tcp,1
11082_tcp,1
1115_tcp,3
11783_tcp,1
1184_tcp,2
1187_tcp,3
11892_tcp,1
1192_tcp,2
12248_tcp,1
1225_tcp,4
1227_tcp,2
12441_tcp,1
12485_tcp,1
1254_tcp,3
1259_tcp,1
1260_tcp,3
1264_tcp,4
12650_tcp,1
12733_tcp,1
1299_tcp,3
1314_tcp,3
13208_tcp,1
13350_tcp,1
13366_tcp,1
13394_tcp,1
1347_tcp,3
1357_tcp,4
13614_tcp,1
13761_tcp,2
1378_tcp,3
1403_tcp,2
14111_tcp,1
14454_tcp,1
14468_tcp,1
14484_tcp,1
1461_tcp,1
1474_tcp,2
14993_tcp,1
15171_tcp,1
15491_tcp,1
1552_tcp,2
1555_tcp,5
15703_tcp,1
15890_tcp,1
1601_tcp,5
16152_tcp,2
16319_tcp,1
1656_tcp,3
1659_tcp,3
1662_tcp,1
16641_tcp,1
16787_tcp,1
16822_tcp,1
16843_tcp,1
1685_tcp,3
16998_tcp,1
17230_tcp,1
1735_tcp,4
17386_tcp,1
17463_tcp,1
17498_tcp,1
1754_tcp,4
17641_tcp,1
1767_tcp,2
17748_tcp,1
17822_tcp,1
17931_tcp,1
1807_tcp,3
1815_tcp,3
1823_tcp,3
18276_tcp,1
1827_tcp,4
1830_tcp,5
18422_tcp,1
18782_tcp,2
1880_tcp,5
18867_tcp,1
18966_tcp,1
19192_tcp,1
1928_tcp,3
1934_tcp,3
1949_tcp,4
19627_tcp,1
19708_tcp,1
19723_tcp,1
19727_tcp,1
19773_tcp,1
19779_tcp,1
1997_tcp,3
2005_tcp,4
20089_tcp,1
20098_tcp,1
20109_tcp,1
2016_tcp,4
20515_tcp,1
20751_tcp,1
2117_tcp,3
21403_tcp,2
2146_tcp,3
21612_tcp,1
2167_tcp,3
21747_tcp,1
2174_tcp,2
21852_tcp,1
21875_tcp,1
2191_tcp,3
2202_tcp,2
22110_tcp,2
22151_tcp,1
2261_tcp,4
2270_tcp,1
2282_tcp,3
22927_tcp,1
22991_tcp,1
2299_tcp,2
2304_tcp,5
23081_tcp,1
23138_tcp,1
2314_tcp,1
23432_tcp,1
23498_tcp,1
2350_tcp,2
23609_tcp,1
2381_tcp,3
2386_tcp,3
23885_tcp,1
2416_tcp,5
24316_tcp,1
2432_tcp,4
24341_tcp,1
2446_tcp,5
24511_tcp,2
2451_tcp,2
24521_tcp,1
2456_tcp,4
24879_tcp,1
2490_tcp,3
24949_tcp,1
2500_tcp,1
25064_tcp,1
25169_tcp,1
2526_tcp,3
25362_tcp,1
25453_tcp,1
25562_tcp,1
2557_tcp,4
2567_tcp,3
2580_tcp,4
2586_tcp,2
2595_tcp,3
2621_tcp,1
26259_tcp,1
2647_tcp,3
2668_tcp,3
2677_tcp,1
26817_tcp,1
26877_tcp,1
2689_tcp,1
2690_tcp,2
2697_tcp,3
26997_tcp,1
27078_tcp,1
2707_tcp,2
27134_tcp,1
2722_tcp,2
27242_tcp,1
27299_tcp,1
27431_tcp,1
27464_tcp,1
2753_tcp,3
27563_tcp,1
27568_tcp,1
2771_tcp,2
27947_tcp,2
27978_tcp,1
28198_tcp,1
2819_tcp,1
2830_tcp,4
28361_tcp,1
2845_tcp,4
28511_tcp,1
28638_tcp,1
28736_tcp,1
29027_tcp,1
2919_tcp,3
29261_tcp,1
2930_tcp,2
29431_tcp,1
29603_tcp,1
2962_tcp,5
29724_tcp,1
29767_tcp,1
29877_tcp,1
30004_tcp,1
30084_tcp,1
30160_tcp,1
30283_tcp,1
3031_tcp,1
3034_tcp,2
3056_tcp,3
3060_tcp,2
3089_tcp,1
3091_tcp,3
3094_tcp,5
3103_tcp,1
31148_tcp,1
3135_tcp,3
31451_tcp,1
3148_tcp,5
3154_tcp,2
31551_tcp,1
31875_tcp,1
3188_tcp,1
3196_tcp,2
3200_tcp,2
3205_tcp,2
3234_tcp,2
3237_tcp,2
32522_tcp,1
32554_tcp,1
3274_tcp,1
3285_tcp,2
3308_tcp,1
3322_tcp,2
33269_tcp,1
3335_tcp,2
33402_tcp,2
33467_tcp,1
33503_tcp,1
3374_tcp,1
3379_tcp,1
33976_tcp,1
3402_tcp,2
3403_tcp,3
3410_tcp,4
34111_tcp,1
3426_tcp,2
3431_tcp,2
34323_tcp,1
3439_tcp,2
3440_tcp,3
34456_tcp,1
34580_tcp,1
34607_tcp,1
3507_tcp,2
3508_tcp,2
35190_tcp,1
35309_tcp,1
3530_tcp,2
35321_tcp,1
35425_tcp,2
35492_tcp,1
3554_tcp,3
3561_tcp,3
35645_tcp,2
3564_tcp,2
35756_tcp,1
35983_tcp,1
36021_tcp,1
36054_tcp,1
36169_tcp,1
36384_tcp,1
3640_tcp,3
36422_tcp,1
3645_tcp,2
36499_tcp,1
36515_tcp,2
36543_tcp,1
3663_tcp,3
36677_tcp,1
3682_tcp,3
36855_tcp,1
36972_tcp,1
37107_tcp,1
37356_tcp,1
3740_tcp,1
37658_tcp,1
3769_tcp,2
37794_tcp,1
37808_tcp,1
3787_tcp,2
37912_tcp,1
37961_tcp,1
38057_tcp,1
38078_tcp,1
3813_tcp,1
38144_tcp,2
38335_tcp,2
3833_tcp,3
38474_tcp,1
3850_tcp,3
3854_tcp,1
38655_tcp,1
38835_tcp,1
3883_tcp,1
3884_tcp,1
38918_tcp,1
38933_tcp,1
38970_tcp,1
39118_tcp,1
3912_tcp,3
3923_tcp,2
3941_tcp,1
39430_tcp,1
3953_tcp,2
39574_tcp,2
39786_tcp,1
39792_tcp,1
3981_tcp,3
39969_tcp,1
3999_tcp,3
40063_tcp,1
4007_tcp,3
40145_tcp,1
40148_tcp,1
4022_tcp,6
4030_tcp,5
4045_tcp,4
4060_tcp,2
4081_tcp,1
41143_tcp,1
41256_tcp,1
41401_tcp,3
4159_tcp,3
4164_tcp,1
4165_tcp,1
4215_tcp,4
4225_tcp,2
42264_tcp,2
42361_tcp,1
42372_tcp,1
4237_tcp,1
42455_tcp,1
42489_tcp,1
42496_tcp,1
4262_tcp,3
42746_tcp,1
4289_tcp,3
42990_tcp,1
43111_tcp,1
43146_tcp,1
4326_tcp,2
4328_tcp,1
4358_tcp,2
4361_tcp,2
43940_tcp,1
4396_tcp,5
4405_tcp,3
4407_tcp,3
4442_tcp,3
44474_tcp,1
44512_tcp,1
4457_tcp,3
44615_tcp,1
4472_tcp,3
4473_tcp,1
44852_tcp,1
44992_tcp,2
45046_tcp,1
4508_tcp,3
4511_tcp,6
45120_tcp,1
45142_tcp,1
45254_tcp,1
4537_tcp,3
4542_tcp,4
4580_tcp,1
45890_tcp,1
46001_tcp,1
46244_tcp,1
46264_tcp,1
46301_tcp,1
4639_tcp,2
46428_tcp,1
46491_tcp,1
46656_tcp,2
4667_tcp,4
46690_tcp,1
46808_tcp,1
4680_tcp,2
4695_tcp,2
46975_tcp,1
4708_tcp,4
47102_tcp,1
4710_tcp,2
4711_tcp,3
47123_tcp,1
47157_tcp,1
4717_tcp,3
4721_tcp,1
47273_tcp,1
47281_tcp,1
47387_tcp,1
4791_tcp,2
47920_tcp,1
4795_tcp,2
4796_tcp,4
48024_tcp,1
4803_tcp,2
4809_tcp,3
48119_tcp,1
48171_tcp,1
4822_tcp,2
48406_tcp,1
4852_tcp,1
48635_tcp,2
48660_tcp,1
48745_tcp,1
4874_tcp,1
4877_tcp,2
48974_tcp,1
48976_tcp,1
49073_tcp,1
4966_tcp,3
4968_tcp,2
4986_tcp,2
50223_tcp,1
50480_tcp,1
50535_tcp,1
50633_tcp,1
50715_tcp,1
50768_tcp,1
51096_tcp,1
51581_tcp,2
52196_tcp,1
5296_tcp,1
53140_tcp,1
53327_tcp,1
53437_tcp,1
5367_tcp,1
54406_tcp,1
54568_tcp,2
54730_tcp,1
54732_tcp,1
55014_tcp,1
5519_tcp,1
55209_tcp,1
55368_tcp,1
55416_tcp,2
5554_tcp,1
55700_tcp,1
55832_tcp,1
55945_tcp,1
56112_tcp,1
56244_tcp,1
5633_tcp,1
56434_tcp,1
56832_tcp,2
5732_tcp,1
57339_tcp,1
57375_tcp,1
57767_tcp,1
58272_tcp,1
58313_tcp,1
58394_tcp,1
58437_tcp,1
58709_tcp,1
58711_tcp,1
58767_tcp,1
58842_tcp,1
58845_tcp,1
58877_tcp,1
59272_tcp,1
59344_tcp,1
5938_tcp,1
59728_tcp,1
59806_tcp,1
60536_tcp,1
60637_tcp,1
6107_tcp,1
61204_tcp,1
61257_tcp,1
61631_tcp,1
61880_tcp,1
62456_tcp,1
62490_tcp,1
62772_tcp,1
63122_tcp,1
63148_tcp,1
63349_tcp,1
63391_tcp,1
63588_tcp,1
6365_tcp,1
64218_tcp,2
64378_tcp,1
64488_tcp,1
64492_tcp,1
64658_tcp,1
65472_tcp,1
7040_tcp,1
7076_tcp,1
7164_tcp,1
7817_tcp,1
8139_tcp,1
8357_tcp,1
8586_tcp,1
8858_tcp,1
9047_tcp,1
9263_tcp,3
9320_tcp,1
9609_tcp,1
9863_tcp,1
9901_tcp,1
netbios-dgm,2
10000_tcp,1
10048_tcp,1
10566_tcp,1
1073_tcp,1
10741_tcp,1
11001_tcp,1
11011_tcp,1
11073_tcp,1
11228_tcp,1
11349_tcp,1
11361_tcp,1
1137_tcp,3
11406_tcp,2
11425_tcp,1
11454_tcp,1
1158_tcp,3
11789_tcp,1
12090_tcp,1
12159_tcp,1
12240_tcp,1
1237_tcp,5
1238_tcp,5
12439_tcp,1
1249_tcp,3
13055_tcp,1
13072_tcp,1
1307_tcp,1
13085_tcp,1
1340_tcp,5
1344_tcp,3
1349_tcp,4
1354_tcp,2
13734_tcp,1
13873_tcp,1
13881_tcp,1
13915_tcp,2
14017_tcp,1
14026_tcp,1
1408_tcp,3
14094_tcp,1
14130_tcp,1
1417_tcp,2
14181_tcp,1
1422_tcp,3
14277_tcp,1
14611_tcp,1
14627_tcp,1
14772_tcp,1
14880_tcp,1
1497_tcp,3
15047_tcp,1
1510_tcp,6
1531_tcp,4
1553_tcp,4
15559_tcp,1
15572_tcp,1
15606_tcp,1
1564_tcp,5
15757_tcp,1
15855_tcp,1
1594_tcp,2
16010_tcp,1
16143_tcp,1
1625_tcp,4
16271_tcp,2
1627_tcp,1
16381_tcp,1
